date,best_lag,beta,pval,r2,risk_score
2007-10-01,9,-12785.21523011229,2.730507966609403e-22,0.49633705146739104,0.0
2007-11-01,9,-12063.498117800264,4.330731862402979e-37,0.5504496621252013,0.0
2007-12-01,4,-8423.452836622359,0.017515373922866066,0.30141606778064545,0.0
2008-01-01,4,-12908.825854812192,0.00956574920214286,0.47345332725763134,0.0
2008-02-01,4,-12166.369744515167,0.008126591321077242,0.32241714430414115,0.0
2008-03-01,10,-14240.795816415195,0.17463293040900285,0.3299178278516043,0.0
2008-04-01,10,-26084.148247713107,1.5259717344225963e-11,0.6997600225159284,0.0
2008-05-01,10,-23563.68708300908,3.160810545085854e-11,0.5254801406241769,0.0
2008-06-01,5,13276.042438448743,0.0033515748547775755,0.40413127689798456,13276.042438448743
2008-07-01,5,13167.975230640493,0.0030738114326575466,0.4188409572093369,13167.975230640493
2008-08-01,5,12833.278722208232,0.0032083330191586493,0.4398196874071634,12833.278722208232
2008-09-01,5,12503.568258507581,0.005976713576691595,0.4164020368950848,12503.568258507581
2008-10-01,5,11599.04561893847,0.012687763110155122,0.38227901330326874,11599.04561893847
2008-11-01,5,11617.850144471866,0.012752716451372936,0.3862012549590479,11617.850144471866
2008-12-01,5,11555.685562950706,0.012571602164282936,0.3959554973942484,11555.685562950706
2009-01-01,5,10602.440787745609,0.02090321776717746,0.35588639904770203,10602.440787745609
2009-02-01,5,10807.998356975053,0.0180689456802461,0.3768385499774347,10807.998356975053
2009-03-01,5,11788.532824172218,0.00850613550705423,0.4143421304981101,11788.532824172218
2009-04-01,5,12822.921008102752,0.009839570952967787,0.4514855563682899,12822.921008102752
2009-05-01,5,12329.048229548072,0.010954069237372513,0.4457582195969023,12329.048229548072
2009-06-01,5,13543.824434593895,0.010633792877043647,0.5167392650839551,13543.824434593895
2009-07-01,5,12938.28535130916,0.009651069189106454,0.517859589083602,12938.28535130916
2009-08-01,5,9414.602109657993,0.0037618338189859954,0.42258153114579977,9414.602109657993
2009-09-01,2,13308.076357914884,6.194386540399474e-05,0.4946185488381135,13308.076357914884
2009-10-01,2,12944.982930700928,7.682703111335893e-05,0.5213212089608055,12944.982930700928
2009-11-01,2,10891.491200068682,9.759459515914346e-07,0.5874427281710237,10891.491200068682
2009-12-01,2,8343.264236917414,0.00011599614764989142,0.4010824892931958,8343.264236917414
2010-01-01,5,6319.5140529404325,0.0022549100319597705,0.3619757510226823,6319.5140529404325
2010-02-01,2,7345.005919602738,0.001824200634697315,0.3152489593890243,7345.005919602738
2010-03-01,11,9164.46017528919,5.062661586390355e-07,0.3918750384252828,9164.46017528919
2010-04-01,11,9357.285308943017,1.1292698226160227e-08,0.41400831678265226,9357.285308943017
2010-05-01,12,-8187.926267203228,3.538086296073578e-10,0.29043859548393525,0.0
2010-06-01,11,7440.071320281575,4.829619717363425e-05,0.21529326161228002,7440.071320281575
2010-07-01,11,7391.184752304783,9.359146814084657e-05,0.22466223559040943,7391.184752304783
2010-08-01,5,7197.757178953443,0.0016383510033132927,0.20357749988928286,7197.757178953443
2010-09-01,11,7950.575935657918,0.0030457859221216426,0.17571936378155373,7950.575935657918
2010-10-01,7,-7435.220724825661,0.01096965430428334,0.2011374794590447,0.0
2010-11-01,7,-7520.078873072811,0.0007906619922955199,0.2607733344439488,0.0
2010-12-01,7,-6982.10926892222,6.308819717953903e-05,0.2458910622647228,0.0
2011-01-01,7,-5792.975749713849,0.002286376714336385,0.15911731978376942,0.0
2011-02-01,10,-7294.892858585263,4.722312666160853e-08,0.2304565340465098,0.0
2011-03-01,9,6515.036833849315,0.0005293695361065666,0.18974519747788088,6515.036833849315
2011-04-01,9,7023.600725019999,0.00015148374850710287,0.15074672759891805,7023.600725019999
2011-05-01,12,7414.043223862138,1.0201758890319854e-12,0.22242609660903934,7414.043223862138
2011-06-01,9,8571.792453157606,3.122462361240303e-17,0.30595389072354684,8571.792453157606
2011-07-01,9,7512.404508753225,2.911527959904297e-09,0.26181272338331996,7512.404508753225
2011-08-01,9,7907.93665102691,6.874273149703194e-13,0.31758053791325813,7907.93665102691
2011-09-01,12,7688.546911885522,3.398322684570599e-14,0.26601338186867707,7688.546911885522
2011-10-01,12,10774.30213984983,1.1603546016709164e-05,0.4096009242779973,10774.30213984983
2011-11-01,12,11867.790526800854,0.0008137150590558234,0.37183654730605475,11867.790526800854
2011-12-01,12,14049.84527303643,0.0012764973343196697,0.47981668134667466,14049.84527303643
2012-01-01,12,12365.18061733392,0.0007778664082307933,0.3675055931921849,12365.18061733392
2012-02-01,12,12506.875662426355,0.0006889623044311648,0.3781446881512115,12506.875662426355
2012-03-01,12,15596.356136752169,2.3747533825697334e-08,0.4390843405490664,15596.356136752169
2012-04-01,12,14693.076967793146,0.00015490233040365745,0.26833561860574917,14693.076967793146
2012-05-01,12,16825.80837038003,1.770814721751962e-07,0.28351152502137256,16825.80837038003
2012-06-01,12,19250.57528867771,1.0513139867962897e-09,0.3170234820587359,19250.57528867771
2012-07-01,12,21323.178785318887,4.759171659012711e-13,0.2753393079017463,21323.178785318887
2012-08-01,12,23702.8758076955,9.765438824626089e-12,0.3262910777257485,23702.8758076955
2012-09-01,12,21994.16487657332,9.129238198735444e-10,0.2669678482239235,21994.16487657332
